"ATTACHMENTS","إرفاق ملفات"
"The 'Estimated Costing' of Project cant be greater than 'Budget Limit'","التكلفة التقديرية للمشروع يجب أن تكون أصغر من أو تساوي سقف الميزانية."
"Budget Limit = {}","سقف الميزانية للمشروع = {}"
"Estimated Costing = {}","التكلفة التقديرية = {}"
"The variance = {}","مقدار الفارق = {}"
"Project Payments","الأقساط والسداد"
"Payment Details","تفاصيل الأقساط"
"Budget Limit","سقف الميزانية للمشروع"
"Add Documents that belong to the Project","قم بإرفاق الملفات المتعلقة بالمشروع"
"Is Program","يُعتبر برنامج"
"Working Hours (In Days)","ساعات العمل (بالأيام)"
"Projects Hours will be apply in TimeSheet","ساعات العمل في المشروع ستُطبَّق في سجل العمل"
"The resoure request has been sent to resource manager ","تم إرسال طلب الموارد إلى مدير الموارد "
"Network Diagram","مخطط الشبكة"
"Project Charter","ميثاق المشروع"
"Task Usage","تقرير استخدام المهام"
"Timeline Diagram","المخطط الزمني"
"Duplicate project has been created","تم إنشاء نسخة من المشروع بنجاح."
"Set Project and all Tasks to status {0}?","هل تريد تعيين الحالة {0} للمشروع وللمهام كلها؟"
"Sharing Type","نوع المشاركة"
"email","عبر البريد الإلكتروني"
"in system","داخلياً عبر النظام"
"File Type","نوع الملف"
"User","المستخدم"
"Submit","تأكيد"
"Proposed","مُقترح"
"Parent Project","المشروع الرئيسي (الأب)"
"Acual Spending","الإنفاق النقدي"
"Is Parent Project","يُعتبر مشروع رئيسي (أب)"
"Has log Frame","يمتلك إطار منطقي"
"Project Output","المُخرَج"
"Risks","المخاطر"
"Project Risks","مخاطر المشروع"
"Project Donors","المانحين للمشروع"
"Donors","المانحين"
"Use a name that is different from previous project name","إستخدم إسماً مختلفاً عن إسم المشروع السابق."
"Status must be Cancelled, Completed or Open","يجب أن تكون الحالة ملغي أو منتهي أو مفتوح."
"The expected end date of project: ","وقت الإنتهاء المتوقع للمشروع: "
" is finished."," قد إنتهى."
"The expected end date of project: {} is finished.","وقت الإنتهاء المتوقع للمشروع: {} قد انتهى."
"Project time expired: {}","إنتهى وقت المشروع: {}"
"Project time expired: ","إنتهى وقت المشروع: "
"File {} is Shared with You","لقد تمت مشاركة هذا الملف {} معك."
"Project Details {} is Shared with You","لقد تم مشاركة تفاصيل المشروع {} معك.س"
"Project OBJECTIVES (purpose)","أهداف المشروع (الغرض منه)"
"Project Description","وصف المشروع"
"Notes & Description","الوصف والملاحظات"
"Business reasons","الأسباب التجارية"
"Business reasons for project","الأسباب التجارية للمشروع"
"Objectives & Scope","الأهداف والمدى"
"Scope","المدى"
"Success Criteria","معايير النجاح"
"Project’s criteria for success (must be measurable)","معايير النجاح للمشروع (يجب أن تكون قابلة للقياس)"
"Critical Success Factors","عوامل النجاح الحرجة"
"Project Scope","مدى المشروع"
"Project Identification","تعريف المشروع"
"Milestone dates","التواريخ الهامة"
"Major Events / Milestones","أحداث رئيسية / معالم"
"Date","التاريخ"
"Donor Name","إسم المانح"
"Criteria Name","تسمية المعيار"
"Signoff","التوقيع"
"RISKS","المخاطر"
"Risk Description","توصيف الخطر"
"Timeline && Progress"," الجدولة الزمنية والتقدم"
"Dependent Project","المشاريع المرتبطة"
"Priority Rate (%)","نسبة الأولوية (%)"
"Priority Rate (%) value should be Between '0' And '100'.","يمكنك فقط إضافة قيمة مابين الـ '0' والـ '100'."
"Select some tasks first..!","قم بتحديد بعض المهام أولاً..!"
"Total Priority for selected tasks is: {}%.","مجموع نِسب الأولويات للمهام المحددة هو: {}%."
"Set Excepted Start Date Frist.","الرجاء ادخال التاريخ المتوقع لبداء المشروع"
"Set Excepted End Date Frist.","الرجاء ادخال التاريخ المتوقع لانتهاء المشروع"
"Budget created successfully","تم إنشاء ميزانية للمشروع"
"Create Budget","إنشاء ميزانية"
"Company Issue","قضاياء المنشاة"
"Main Problem","المشكلة الرئيسية"
"Holiday List(Calendar)","قائمة العطل (التقويم)"
"Reason Text","نص السبب"
"Project Location","موقع المشروع"
